,Accession Number,Central Index Key (CIK),Name,Standard Industrial Classification (SIC),Country,State,City,Zip Code,Address,Address (Cont.),Phone Number,Filer Status,Well Known Seasoned Issuer,Fiscal Year End Date,Form,Balance Sheet Date,Fiscal Year Focus,Fiscal Period Focus,Date of Filing,Previous Report,Detail,Public Float,Date of Public Float,Gross Profit,Accrual for Environmental Loss Contingencies,Environmental Remediation Expenses,Charitable Contributions,Amount Committed for Funding Social and Infrastructure Improvement Projects
732,0001214659-24-018307,1364397,RIDGEWOOD ENERGY T FUND LLC,1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,201-447-9000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
733,0001214659-24-018308,1377178,RIDGEWOOD ENERGY U FUND LLC,1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,201-447-9000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
734,0001214659-24-018309,1385662,RIDGEWOOD ENERGY V FUND LLC,1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,201-447-9000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
735,0001214659-24-018310,1409947,RIDGEWOOD ENERGY W FUND LLC,1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,(201) 447-9000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
736,0001214659-24-018311,1455741,"RIDGEWOOD ENERGY X FUND, LLC",1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,201-447-9000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
737,0001214659-24-018312,1434070,RIDGEWOOD ENERGY Y FUND LLC,1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,201-447-9000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
739,0001217234-24-000103,1217234,"CAREDX, INC.",8071.0,US,CA,BRISBANE,94005,8000 MARINA BLVD,4TH FLOOR,415-287-2300,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
755,0001328581-24-000090,1328581,BOISE CASCADE CO,5030.0,US,ID,BOISE,83702,"1111 WEST JEFFERSON STREET, SUITE 300",P. O. BOX 50,(208) 384-6161,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
757,0001336047-24-000020,1336047,"BOARDWALK PIPELINE PARTNERS, LP",4922.0,US,TX,HOUSTON,77046,"9 GREENWAY PLAZA, SUITE 2800",,866-913-2122,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,13100000.0,,,
770,0001410578-24-001742,887596,CHEESECAKE FACTORY INC,5812.0,US,CA,CALABASAS HILLS,91301,26901 MALIBU HILLS RD,,818-871-3000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
771,0001410578-24-001744,1066684,THEGLOBE COM INC,7310.0,US,FL,FORT LAUDERDALE,33301,110 EAST BROWARD BOULEVARD,SUITE 1400,954 769 5900,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
773,0001434621-24-000026,1434621,"LENDINGTREE, INC.",6163.0,US,NC,CHARLOTTE,28203,"1415 VANTAGE PARK DRIVE, SUITE 700",,704-541-5351,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,4537806000.0,,,,
774,0001436126-24-000065,1436126,"MISTRAS GROUP, INC.",8711.0,US,NJ,PRINCETON JUNCTION,08550,195 CLARKSVILLE ROAD,,609-716-4000,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,4877305000.0,,,,
779,0001437749-24-033077,1270436,COHEN & CO INC.,6211.0,US,PA,PHILADELPHIA,19104-2870,"CIRA CENTRE, 2929 ARCH STREET",17TH FLOOR,215-701-9555,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
783,0001437749-24-033131,1792849,"HIGHPEAK ENERGY, INC.",1381.0,US,TX,FORT WORTH,76102,421 W. 3RD STREET,SUITE 1000,(817) 850-9200,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
795,0001447362-24-000169,1447362,CASTLE BIOSCIENCES INC,8071.0,US,TX,FRIENDSWOOD,77546,505 S FRIENDSWOOD DRIVE,SUITE 401,866-788-9007,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
801,0001477932-24-006849,352991,ADVANCED OXYGEN TECHNOLOGIES INC,6500.0,US,VT,RANDOLPH,05060,"ADVANCED OXYGEN TECHNOLOGIES, INC.","C/O CROSSFIELD, INC. PO BOX 189",212-727-7085,4-NON,0,630.0,10-Q,09302024,2025.0,Q1,11042024,0,1,,,,,,,
807,0001486957-24-000046,1486957,"BWX TECHNOLOGIES, INC.",3510.0,US,VA,LYNCHBURG,24504,800 MAIN STREET,4TH FLOOR,980-365-4300,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,521872000.0,202900000.0,57500000.0,,
809,0001493152-24-043407,1001601,"MGT CAPITAL INVESTMENTS, INC.",6199.0,US,NC,RALEIGH,27601,"150 FAYETTEVILLE STREET,",SUITE 1110,(914) 630-7430,4-NON,0,1231.0,8-K,10312024,,,11042024,0,0,,,,,,,
818,0001493152-24-043492,1549145,"BLUE BIOFUELS, INC.",2860.0,US,FL,PALM BEACH GARDENS,33401,3710 BUCKEYE ST,SUITE 120,(888)607-3555,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
834,0001497645-24-000079,1497645,"SUMMIT HOTEL PROPERTIES, INC.",6798.0,US,TX,AUSTIN,78738,13215 BEE CAVE PARKWAY,SUITE B-300,512-538-2300,1-LAF,0,1231.0,8-K,10312024,,,11042024,0,0,,,,,,,
836,0001504008-24-000030,1504008,"BANKUNITED, INC.",6035.0,US,FL,MIAMI LAKES,33016,14817 OAK LANE,,(305) 569-2000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
841,0001515971-24-000083,1164256,"DAYBREAK OIL & GAS, INC.",1311.0,US,WA,SPOKANE VALLEY,99212,1101 NORTH ARGONNE ROAD,SUITE A 211,(509) 232-7674,4-NON,0,229.0,8-K,10312024,,,11042024,0,0,,,,,,,
863,0001558370-24-014259,1027838,TACTILE SYSTEMS TECHNOLOGY INC,3841.0,US,MN,MINNEAPOLIS,55413,1331 TYLER STREET NE STE 200,,866-435-3948,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,2579022000.0,,,,
867,0001558370-24-014265,1868912,"ENFUSION, INC.",7372.0,US,IL,CHICAGO,60603,"125 SOUTH CLARK STREET, SUITE 750",,(312) 253-9800,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,794009000.0,,,,
875,0001573221-24-000125,1573221,"THEREALREAL, INC.",5900.0,US,CA,SAN FRANCISCO,94133,55 FRANCISCO STREET,SUITE 400,800-215-0566,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,2580722000.0,,,,
877,0001582961-24-000155,1582961,"DIGITALOCEAN HOLDINGS, INC.",7370.0,US,NY,NEW YORK,10013,101 AVENUE OF THE AMERICAS,10TH FLOOR,341-985-0306,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,2759040000.0,,,,
888,0001611647-24-000019,1611647,"FRESHPET, INC.",2040.0,US,NJ,BEDMINSTER,07921,"1545 U.S. 206, 1ST FLOOR",,201-520-4000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,1812473000.0,,,,
894,0001628280-24-044884,1048286,MARRIOTT INTERNATIONAL INC /MD/,7011.0,US,MD,BETHESDA,20814,7750 WISCONSIN AVENUE,,3013803000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
901,0001628280-24-044991,1981792,HOWARD HUGHES HOLDINGS INC.,6798.0,US,TX,THE WOODLANDS,77380,9950 WOODLOCH FOREST DRIVE,11TH FLOOR,6463543406,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
903,0001628280-24-044995,1706431,"VIR BIOTECHNOLOGY, INC.",2836.0,US,CA,SAN FRANCISCO,94158,1800 OWENS STREET,SUITE 900,415-906-4324,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
922,0001628280-24-045039,1759774,"POSTAL REALTY TRUST, INC.",6798.0,US,NY,CEDARHURST,11516,75 COLUMBIA AVE,,576-295-7820,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
923,0001628280-24-045040,910329,MEDIFAST INC,2090.0,US,MD,OWINGS MILLS,21117,11445 CRONHILL DRIVE,,7327640619,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,5733467000.0,,,,
924,0001628280-24-045047,1038074,SILICON LABORATORIES INC.,3674.0,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,5124168500,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,3235072000.0,,,,
945,0001683168-24-007576,1110607,"KOIL ENERGY SOLUTIONS, INC.",3533.0,US,TX,HOUSTON,77073,1310 RANKIN ROAD,,(281) 517-5000,4-NON,0,1231.0,8-K,10312024,,,11042024,0,0,,,,,,,
963,0001781755-24-000093,1781755,"BALDWIN INSURANCE GROUP, INC.",6411.0,US,FL,TAMPA,33607,4211 W. BOY SCOUT BLVD.,SUITE 800,(866) 279-0698,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
967,0001798100-24-000080,1798100,NETSTREIT CORP.,6798.0,US,TX,DALLAS,75201,2021 MCKINNEY AVENUE,SUITE 1150,972-200-7100,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11042024,0,1,,,,,,,
982,0001829126-24-007279,1813603,HESTIA INSIGHT INC.,8742.0,US,NV,LAS VEGAS,89101,400 S. 4TH STREET SUITE 500,,929-329-4756,4-NON,0,1130.0,10-Q,08312024,2024.0,Q3,11042024,0,1,,,4215174.0,,,,
1010,0000006845-24-000268,6845,"APOGEE ENTERPRISES, INC.",3231.0,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,6128351874,1-LAF,0,229.0,8-K/A,10312024,,,11052024,0,0,,,2458364000.0,800000.0,,,
1017,0000026172-24-000046,26172,CUMMINS INC,3510.0,US,IN,COLUMBUS,47202-3005,500 JACKSON ST,BOX 3005 MAIL CODE 93050,8123773842,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,58762000000.0,,,,
1021,0000039311-24-000090,39311,INDEPENDENT BANK CORP /MI/,6022.0,US,MI,GRAND RAPIDS,49525,4200 E BELTLINE AVE,,8003550641,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1025,0000068622-24-000016,68622,QWEST CORP,4813.0,US,LA,MONROE,71203,P O BOX 4065,100 CENTURYLINK DRIVE,3183889000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1026,0000071508-24-000009,71508,"ENTERGY NEW ORLEANS, LLC",4931.0,US,LA,NEW ORLEANS,70112,1600 PERDIDO ST,,504-670-3700,,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1027,0000076334-24-000067,76334,PARKER HANNIFIN CORP,3490.0,US,OH,CLEVELAND,44124-4141,6035 PARKLAND BOULEVARD,,2168963000,1-LAF,0,630.0,10-Q,09302024,2025.0,Q1,11052024,0,1,,,,85900000.0,,,
1030,0000082811-24-000210,82811,REGAL REXNORD CORP,3569.0,US,WI,MILWAUKEE,53203-2903,111 WEST MICHIGAN STREET,,6083648800,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,39910800000.0,,,,
1032,0000098362-24-000132,98362,TIMKEN CO,3562.0,US,OH,NORTH CANTON,44720-5450,4500 MT. PLEASANT ST. NW,,(234) 262-3000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,37300000.0,,,
1033,0000100122-24-000016,100122,TUCSON ELECTRIC POWER CO,4911.0,US,AZ,TUCSON,85701,88 EAST BROADWAY,,520-917-2644,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1035,0000104894-24-000087,104894,ELME COMMUNITIES,6798.0,US,MD,BETHESDA,20814,7550 WISCONSIN AVENUE,SUITE 900,2027743200,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,1977526000.0,,,,
1041,0000715787-24-000035,715787,INTERFACE INC,2273.0,US,GA,ATLANTA,30309,1280 WEST PEACHTREE ST. NW,,7704376800,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,3109332000.0,,,,
1048,0000764065-24-000206,764065,CLEVELAND-CLIFFS INC.,1000.0,US,OH,CLEVELAND,44114-2315,200 PUBLIC SQUARE,STE. 3300,216-694-5700,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,1070000000.0,,,
1051,0000794323-24-000015,794323,"LEVEL 3 PARENT, LLC",4813.0,US,CO,BROOMFIELD,80021,1025 ELDORADO BOULEVARD,BLDG 2000,7208881000,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1052,0000816761-24-000162,816761,TERADATA CORP /DE/,7372.0,US,CA,SAN DIEGO,92127,17095 VIA DEL CAMPO,,866-548-8348,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,28095000000.0,,,,
1056,0000827052-24-000081,827052,EDISON INTERNATIONAL,4911.0,US,CA,ROSEMEAD,91770,"2244 WALNUT GROVE AVE,",P O BOX 800,(626) 302-2222,1-LAF,0,1231.0,8-K,10312024,,,11052024,0,0,,,,2594000000.0,60000000.0,,
1072,0000883948-24-000095,883948,ATLANTIC UNION BANKSHARES CORP,6022.0,US,VA,GLEN ALLEN,23060,4300 COX ROAD,,800-990-4828,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1081,0000945841-24-000167,945841,POOL CORP,5090.0,US,LA,COVINGTON,70433-5001,109 NORTHPARK BLVD,4TH FLOOR,9858925521,1-LAF,0,1231.0,8-K,10312024,,,11052024,0,0,,,15912988000.0,,,,
1082,0000946673-24-000033,946673,BANNER CORP,6022.0,US,WA,WALLA WALLA,99362,10 S FIRST AVENUE,,5095273636,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1092,0000950170-24-121035,1640428,"EVERQUOTE, INC.",7370.0,US,MA,CAMBRIDGE,02139,141 PORTLAND STREET,,617-245-0615,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1095,0000950170-24-121062,1492422,"APELLIS PHARMACEUTICALS, INC.",2834.0,US,MA,WALTHAM,02451,100 FIFTH AVENUE,,617-977-5700,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1104,0000950170-24-121075,1840574,"VERVE THERAPEUTICS, INC.",2834.0,US,MA,BOSTON,02215,201 BROOKLINE AVENUE,SUITE 601,(978) 501-3026,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1109,0000950170-24-121090,1693011,"INOZYME PHARMA, INC.",2834.0,US,MA,BOSTON,02210,321 SUMMER STREET,SUITE 400,857-330-4340,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1114,0000950170-24-121113,1076930,NOVANTA INC,3690.0,US,MA,BEDFORD,01730,125 MIDDLESEX TURNPIKE,.,781-266-5618,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,8153631000.0,,,,
1116,0000950170-24-121152,42582,GOODYEAR TIRE & RUBBER CO /OH/,3011.0,US,OH,AKRON,44316,200 INNOVATION WAY,,330-796-2121,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,649000000.0,,,
1123,0000950170-24-121370,1389170,TARGA RESOURCES CORP.,4922.0,US,TX,HOUSTON,77002,TARGA RESOURCES PARTNERS LP,"1000 LOUISIANA STREET, SUITE 4300",713-584-1000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1124,0000950170-24-121412,1895582,"PERSHING SQUARE SPARC HOLDINGS, LTD./DE",6770.0,US,NY,NEW YORK,10019,787 ELEVENTH AVENUE,9TH FLOOR,212-813-3700,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1134,0000950170-24-121446,1508655,"SIXTH STREET SPECIALTY LENDING, INC.",,US,TX,DALLAS,75201,"2100 MCKINNEY AVENUE, SUITE 1500",,469-621-3001,1-LAF,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1137,0000950170-24-121449,1116942,TTM TECHNOLOGIES INC,3672.0,US,CA,SANTA ANA,92707,200 EAST SANDPOINTE,SUITE 400,7143273000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,2946288000.0,,,,
1140,0000950170-24-121460,1630627,"TREACE MEDICAL CONCEPTS, INC.",3841.0,US,FL,PONTE VEDRA,32081,100 PALMETTO PARK PLACE,,(904) 373-5940,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,918825000.0,,,,
1143,0000950170-24-121466,1377630,"NATIONAL CINEMEDIA, INC.",7310.0,US,CO,CENTENNIAL,80111,6300 S. SYRACUSE WAY,SUITE 300,(303) 792-3600,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1149,0000950170-24-121490,1746618,"REVOLVE GROUP, INC.",5961.0,US,CA,CERRITOS,90703,12889 MOORE ST.,,(562) 677-9480,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,11806863000.0,,,,
1152,0000950170-24-121503,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,4731.0,US,WA,BELLEVUE,98006,"STERLING PLAZA 2, 3RD FLOOR",3545 FACTORIA BLVD. SE,2066743400,1-LAF,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1155,0000950170-24-121530,1622194,"EASTERLY GOVERNMENT PROPERTIES, INC.",6798.0,US,DC,WASHINGTON,20006,2001 K STREET NW,SUITE 775 NORTH,(202) 595-9500,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1161,0000950170-24-121619,1655050,"BAIN CAPITAL SPECIALTY FINANCE, INC.",,US,MA,BOSTON,02116,"C/O BAIN CAPITAL CREDIT, LP",200 CLARENDON STREET,(617) 516-2318,1-LAF,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1163,0001000228-24-000064,1000228,HENRY SCHEIN INC,5047.0,US,NY,MELVILLE,11747,135 DURYEA RD,,6318435500,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,27255000000.0,,,,
1168,0001039399-24-000035,1039399,FORMFACTOR INC,3674.0,US,CA,LIVERMORE,94551,7005 SOUTHFRONT ROAD,,9252904000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,5994999000.0,,,,
1174,0001049521-24-000044,1049521,MERCURY SYSTEMS INC,3670.0,US,MA,ANDOVER,01810,50 MINUTEMAN ROAD,,9782561300,1-LAF,0,630.0,10-Q,09302024,2025.0,Q1,11052024,0,1,,,1866448000.0,,,,
1182,0001077183-24-000157,1077183,NEOGENOMICS INC,8734.0,US,FL,FORT MYERS,33912,9490 NEOGENOMICS WAY,,2397680600,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,4955838000.0,,,,
1183,0001085392-24-000022,1085392,PUGET ENERGY INC /WA,4911.0,US,WA,BELLEVUE,98004,355 110TH AVE NE,,4254562150,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,72900000.0,,,
1186,0001097149-24-000060,1097149,ALIGN TECHNOLOGY INC,3842.0,US,AZ,TEMPE,85288,"410 NORTH SCOTTSDALE ROAD, SUITE 1300",,408-470-1000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,58049442000.0,,,,
1209,0001107843-24-000038,1107843,"QUALYS, INC.",7372.0,US,CA,FOSTER CITY,94404,919 E. HILLSDALE BLVD.,,650-801-6100,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,3001753000.0,,,,
1210,0001122976-24-000066,1122976,AVIENT CORP,2821.0,US,OH,AVON LAKE,44012,33587 WALKER ROAD,,440-930-1000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,6704700000.0,2563400000.0,201600000.0,,
1212,0001124140-24-000083,1124140,EXACT SCIENCES CORP,8071.0,US,WI,MADISON,53719,5505 ENDEAVOR LANE,,608-284-5700,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1216,0001138639-24-000234,1138639,INFINERA CORP,3661.0,US,CA,SAN JOSE,95119,6373 SAN IGNACIO AVENUE,,408-572-5200,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,6401454000.0,,,,
1218,0001140361-24-045199,1746129,BANK7 CORP.,6022.0,US,OK,OKLAHOMA CITY,73116,1039 NW 63RD STREET,,405-810-8600,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1220,0001140361-24-045212,310142,SENSIENT TECHNOLOGIES CORP,2860.0,US,WI,MILWAUKEE,53202-5304,777 EAST WISCONSIN AVENUE,,4142716755,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1229,0001164863-24-000041,1164863,ENPRO INC.,3050.0,US,NC,CHARLOTTE,28209,5605 CARNEGIE BOULEVARD,SUITE 500,704-731-1522,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,2966300000.0,374400000.0,,,
1246,0001193125-24-251239,1717115,"TEMPUS AI, INC.",7370.0,US,IL,CHICAGO,60654,600 WEST CHICAGO AVENUE,SUITE 510,800-976-5448,4-NON,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1256,0001193125-24-251276,755001,UNITIL CORP,4931.0,US,NH,HAMPTON,03842,6 LIBERTY LANE WEST,,6037736504,1-LAF,0,1231.0,8-K,10312024,,,11052024,0,0,,,,55400000.0,120010040000.0,,
1275,0001213900-24-094582,1831964,NORTHERN REVIVAL ACQUISITION CORP,6770.0,US,DE,WILMIINGTON,19807,"4001 KENNETT PIKE, SUITE 302",,(302) 338-9130,4-NON,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1289,0001289945-24-000065,1289945,"SPOK HOLDINGS, INC",4812.0,US,TX,PLANO,75074,3000 TECHNOLOGY DRIVE,SUITE 400,800-611-8488,2-ACC,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1299,0001327607-24-000186,1327607,FIRST WESTERN FINANCIAL INC,6022.0,US,CO,DENVER,80202,"1900 SIXTEENTH ST, #1200",,303-531-8100,2-ACC,0,,8-K,10312024,,,11052024,0,0,,,,,,,
1305,0001333986-24-000033,1333986,"EQUITABLE HOLDINGS, INC.",6411.0,US,NY,NEW YORK,10105,1345 AVENUE OF THE AMERICAS,,(212) 554-1234,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1307,0001367859-24-000112,1367859,CITIZENS COMMUNITY BANCORP INC.,6035.0,US,WI,EAU CLAIRE,54701,2174 EASTRIDGE CENTER,,715 836 9994,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1317,0001393905-24-000374,1498372,IWALLET CORP,3669.0,US,NV,RENO,89502,401 RYLAND ST.,STE. 200A,858-610-2958,4-NON,0,1231.0,8-K,10312024,,,11052024,0,0,,,20100.0,,,,
1320,0001404912-24-000029,1404912,KKR & CO. INC.,6282.0,US,NY,NEW YORK,10001,30 HUDSON YARDS,,212-750-8300,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1334,0001437749-24-033247,1171486,NATURAL RESOURCE PARTNERS LP,1221.0,US,TX,HOUSTON,77002,1415 LOUISIANA ST. STE 3325,,713-751-7507,2-ACC,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,1008565000.0,,,,
1335,0001437749-24-033260,1307954,HUNTSMAN CORP,2800.0,US,TX,THE WOODLANDS,77380,10003 WOODLOCH FOREST DRIVE,,(281) 719-6000,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,16732000000.0,69000000.0,,,
1336,0001437749-24-033271,835324,"STOCK YARDS BANCORP, INC.",6022.0,US,KY,LOUISVILLE,40206,1040 E MAIN ST,,5025822571,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1339,0001437749-24-033335,1175535,WHITESTONE REIT,6798.0,US,TX,HOUSTON,77063,2600 SOUTH GESSNER,SUITE 500,713-827-9595,2-ACC,0,1231.0,8-K,10312024,,,11052024,0,0,,,,,,,
1340,0001437749-24-033337,1474735,GENERAC HOLDINGS INC.,3621.0,US,WI,WAUKESHA,53187,S45 W29290 HIGHWAY 59,,888 436-3722,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,12709644000.0,,,,
1378,0001493152-24-043700,1566610,"VERB TECHNOLOGY COMPANY, INC.",7200.0,US,NV,LAS VEGAS,89138,3024 SIERRA JUNIPER COURT,,855-250-2300,4-NON,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1381,0001510295-24-000079,1510295,MARATHON PETROLEUM CORP,2911.0,US,OH,FINDLAY,45840-3229,539 SOUTH MAIN STREET,,419-422-2121,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,3036000000.0,,,
1385,0001522727-24-000047,1522727,"USA COMPRESSION PARTNERS, LP",4922.0,US,TX,AUSTIN,78701,111 CONGRESS AVENUE,SUITE 2400,512-473-2662,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1391,0001544206-24-000067,1544206,"CARLYLE SECURED LENDING, INC.",,US,NY,NEW YORK,10017,"ONE VANDERBILT AVENUE, SUITE 3400",,(212) 813-4900,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1393,0001552000-24-000033,1552000,MPLX LP,4610.0,US,OH,FINDLAY,45840,200 E. HARDIN STREET,,(419) 422-2121,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,141000000.0,,,
1397,0001556593-24-000041,1556593,RITHM CAPITAL CORP.,6798.0,US,NY,NEW YORK,10003,799 BROADWAY,,(212) 850-7770,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,,,,,
1398,0001558370-24-014294,1361538,PRIMORIS SERVICES CORP,1623.0,US,TX,DALLAS,75201,"2300 N. FIELD STREET, SUITE 1900",,214-740-5600,1-LAF,0,1231.0,10-Q,09302024,2024.0,Q3,11052024,0,1,,,12855961000.0,,,,
